Sref Season;Season Name;Mongo Season
2004;2003-04;5ff76b435fe05a0e9f065302
2005;2004-05;57589fa45762021398add0d1
2006;2005-06;57589fa45762021398add0d2
2007;2006-07;57589fa45762021398add0d3
2008;2007-08;57589fa55762021398add0d4
2009;2008-09;57589fa55762021398add0d5
2010;2009-10;57589fa55762021398add0d6
2011;2010-11;57589fa55762021398add0d7
2012;2011-12;57589fa55762021398add0d8
2013;2012-13;57589fa55762021398add0d9
2014;2013-14;57589fa55762021398add0da
2015;2014-15;57589fa55762021398add0db
2016;2015-16;57589fa55762021398add0dc
2017;2016-17;5769aea35762021398c59091
2018;2017-18;59af08c917120e9c9a97983b
2019;2018-19;5b4bd3ab9559b26e7e107793
2020;2019-20;5d56fb68f52909811e1c65e5
2021;2020-21;5dad07257455336e8774eb66
2022;2021-22;6085b5d0e6c2413bc4ba9122
