BBRef Season ID;Season Name;Synergy Season ID
2005;2004-05;57589fa45762021398add0bd
2006;2005-06;57589fa45762021398add0be
2007;2006-07;57589fa45762021398add0bf
2008;2007-08;57589fa45762021398add0c0
2009;2008-09;57589fa45762021398add0c1
2010;2009-10;57589fa45762021398add0c2
2011;2010-11;57589fa45762021398add0c3
2012;2011-12;57589fa45762021398add0c4
2013;2012-13;57589fa45762021398add0c5
2014;2013-14;57589fa45762021398add0c6
2015;2014-15;57589fa45762021398add0c7
2016;2015-16;57589fa45762021398add0c8
2017;2016-17;57ae10a557620213988d93a2
2018;2017-18;59af08c917120e9c9a9797ff
2019;2018-19;5b6e102011ef0d11039af1e3
2020;2019-20;5d51e0c6f52909811e13ee2d
2021;2020-21;5fce72f5f68e52f827c39b4c
2022;2021-22;6120261cea4488c9fd5c57c5
